KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
Play,Play,Hrát,開始遊戲,Играть,Spielen,Graj,Spela,Играй,Maglaro,Joacă,Jogar,Jouer,Jugar,Jugar,Spill,,Spil,Jugar,Oyna,始める,Pelaa,Chơi,
Options,Options,Nastavení,選項,Настройки,Optionen,Opcje,Inställningar,Опции,Pagpipilian,Opțiuni,Opções,Options,Opciones,Opciones,Valg,,Indstillinger,Opciones,Ayarlar,,Asetukset,Tuỳ chọn,
Quit,Quit,Ukončit,退出遊戲,Выйти,Schließen,Wyjdź,Avsluta,Изход,Alis,Ieși din joc,Sair,Quitter,Salir,Salir,Slutt,,Slut,Salir,Çık,止める,Lopeta,Thoát,
General,General,Obecné,一般,Основные,Allgemein,Ogólne,Generell,Общи,General,General,Geral,Général,General,General,Generelt,,Generelt,General,Genel,,Yleinen,Cài đặt chung,
Audio,Audio,Audio,聲音設定,Аудио,Audio,Dźwięk,Ljud,Аудио,Tunog,Sunet,Áudio,Audio,Audio,Audio,Lyd,,Lyd,Audio,Ses,,Äänet,Âm thanh,
FPS Limit,FPS Limit,Limit FPS,影格率限制,Лимит FPS,FPS Limit,Limit FPS,FPS begränsning,Ограничение на FPS,Limit ng FPS,Limita de FPS,Limite de FPS,Limite de FPS,"
Límite de FPS","
Límite de FPS",FPS-grense,,FPS-begrænsning,Límite de FPS,FPS Sınırı,,FPS-raja,Giới hạn FPS,
UI Wiggle,UI Wiggle,UI Chvění,介面晃動效果,Покачивание UI,UI bewegung,Ruch interfejsu,UI vickning,Шаване на UI,Galaw ng UI,UI dinamic,Dinamismo IU,Gigotement de l'interface,Movimiento del HUD,Movimiento del HUD,,,UI-rysten,Movimiento del HUD,UI Hareketleri,,UI wiggle,Hiệu ứng lắc giao diện,
Window Mode,Window Mode,Mód Okna,視窗模式,Режим окна,Fenstermodus,Tryb wyświetlania,Fönsterläge,Режим на прозореца,Mode ng Bintana,Mod fereastră,Modo de janela,Mode de fenêtre,Modo ventana,Modo ventana,Vindumodus,,Vinduestilstand,Modo ventana,Pencere Modu,,Pelitila,Chế độ cửa sổ,
Windowed,Windowed,V Okně,視窗化,В окне,Fenster,Okno,Fönster,В прозорец,Bintana,Fereastră,Janelado,Fenêtré,Ventana,Ventana,Vindu,,Vindue,Ventana,Pencereli,,Pelitilassa,Cửa sổ,
Fullscreen,Fullscreen,Celá Obrazovka,全螢幕,На полный экран,Vollbild,Pełny ekran,Fullskärm,Цял екран,Buong screen,Ecran complet,Ecrã inteiro,Plein écran,Pantalla completa,Pantalla completa,Fullskjerm,,Fuld skærm,Pantalla completa,Tam Ekran,,Koko näyttö ,Toàn màn hình,
Animated Menus,Animated Menus,Animované Menu,選單動畫,Анимированные меню,Animierte Menüs,Animowane menu,Animerade menyer,Анимирани менюта,Galaw ng Menus,Meniuri animate,Menus animados,Menus animées,menus animados,Menus animados,Animerte menyer,,Animerede menuer,Menus animados,Animasyonlu Menüler,,Animoidut valikot,Menu động,
Skip Main Menu,Skip Main Menu,Přeskočit Hlavní Menu,跳過主選單,Пропустить главное меню,Hauptmenü überspringen,Pomiń menu główne,"
Hoppa över huvudmenyn",Пропускане на главно меню,Laktawan ang Main Menu,Treci peste meniu principal,Saltar menu principal,Passer le menu principal,Saltar menu principal,Saltar menu principal,Hopp over hovedmenyen,,Spring over hovedmenuen,Saltar menú principal,Ana Menüyü Atla,,Ohita päävalikko,Bỏ qua Menu chính,
Normal Font,Normal Font,Normální Font,標準字體,Нормальный шрифт,Normale Font,Normalna czcionka,Normalt typsnitt,Нормален шрифт,Karaniwang Font,Font normal,Tipo de letra normal,Police normale,Fuente normal,Fuente normal,Normal skrifttype,,Normal skrifttype,Fuente normal,Normal Yazı Tipi,,Tavallinen fontti,Phông chữ chuẩn,
X On Left,X On Left,X Na Levo,關閉鈕切換至左側,X слева ,X auf Links,X po lewej,X till vänster,X отляво,X sa Kaliwa,X la stânga,X  à esquerda,X à gauche,X a la izquierda,X a la izquierda,X til venstre,,X til venstre,X a la izquierda,X Soldadır,,Sulkemisnappi vasemmalla,Nút X bên trái,
Accumulate Tank Grime,Accumulate Tank Grime,Usazování nečistot v akváriu,水槽髒污,Загрязнение аквариумов,Ablagerungen im Tank,Brud nagromadzony w zbiorniku,Uppbyggning av akvariesmuts,Натрупване на мръсотия в резервоара,Magkaroon ng Dumi sa Loob ng Tangke,Acumulare murdărie din acvariu,Acumular resíduos nos aquários,Accumuler résidus dans le réservoir,Acumular suciedad del aquario,Acumular suciedad del aquario,Samle tanksmuss,,,Acumular suciedad del aquario,Tank Pisliği Biriksin,,Kerää akvaarion likaa,Tích tụ cặn bẩn trong bể,
